CUR YYYY-MM-DD
SEK 1997-05-24
SEK 1997-05-25
SEK 1997-05-31
SEK 1997-06-01
SEK 1997-06-07
SEK 1997-06-08
SEK 1997-06-14
SEK 1997-06-15
SEK 1997-06-21
SEK 1997-06-22
SEK 1997-06-28
SEK 1997-06-29
SEK 1997-07-05
SEK 1997-07-06
SEK 1997-07-12
SEK 1997-07-13
SEK 1997-07-19
SEK 1997-07-20
SEK 1997-07-26
SEK 1997-07-27
SEK 1997-08-02
SEK 1997-08-03
SEK 1997-08-09
SEK 1997-08-10
SEK 1997-08-16
SEK 1997-08-17
SEK 1997-08-23
SEK 1997-08-24
SEK 1997-08-30
SEK 1997-08-31
SEK 1997-09-06
SEK 1997-09-07
SEK 1997-09-13
SEK 1997-09-14
SEK 1997-09-20
SEK 1997-09-21
SEK 1997-09-27
SEK 1997-09-28
SEK 1997-10-04
SEK 1997-10-05
SEK 1997-10-11
SEK 1997-10-12
SEK 1997-10-18
SEK 1997-10-19
SEK 1997-10-25
SEK 1997-10-26
SEK 1997-11-01
SEK 1997-11-02
SEK 1997-11-08
SEK 1997-11-09
SEK 1997-11-15
SEK 1997-11-16
SEK 1997-11-22
SEK 1997-11-23
SEK 1997-11-29
SEK 1997-11-30
SEK 1997-12-06
SEK 1997-12-07
SEK 1997-12-13
SEK 1997-12-14
SEK 1997-12-20
SEK 1997-12-21
SEK 1997-12-27
SEK 1997-12-28
SEK 1998-01-03
SEK 1998-01-04
SEK 1998-01-10
SEK 1998-01-11
SEK 1998-01-17
SEK 1998-01-18
SEK 1998-01-24
SEK 1998-01-25
SEK 1998-01-31
SEK 1998-02-01
SEK 1998-02-07
SEK 1998-02-08
SEK 1998-02-14
SEK 1998-02-15
SEK 1998-02-21
SEK 1998-02-22
SEK 1998-02-28
SEK 1998-03-01
SEK 1998-03-07
SEK 1998-03-08
SEK 1998-03-14
SEK 1998-03-15
SEK 1998-03-21
SEK 1998-03-22
SEK 1998-03-28
SEK 1998-03-29
SEK 1998-04-04
SEK 1998-04-05
SEK 1998-04-11
SEK 1998-04-12
SEK 1998-04-18
SEK 1998-04-19
SEK 1998-04-25
SEK 1998-04-26
SEK 1998-05-02
SEK 1998-05-03
SEK 1998-05-09
SEK 1998-05-10
SEK 1998-05-16
SEK 1998-05-17
SEK 1998-05-23
SEK 1998-05-24
SEK 1998-05-30
SEK 1998-05-31
SEK 1998-06-06
SEK 1998-06-07
SEK 1998-06-13
SEK 1998-06-14
SEK 1998-06-20
SEK 1998-06-21
SEK 1998-06-27
SEK 1998-06-28
SEK 1998-07-04
SEK 1998-07-05
SEK 1998-07-11
SEK 1998-07-12
SEK 1998-07-18
SEK 1998-07-19
SEK 1998-07-25
SEK 1998-07-26
SEK 1998-08-01
SEK 1998-08-02
SEK 1998-08-08
SEK 1998-08-09
SEK 1998-08-15
SEK 1998-08-16
SEK 1998-08-22
SEK 1998-08-23
SEK 1998-08-29
SEK 1998-08-30
SEK 1998-09-05
SEK 1998-09-06
SEK 1998-09-12
SEK 1998-09-13
SEK 1998-09-19
SEK 1998-09-20
SEK 1998-09-26
SEK 1998-09-27
SEK 1998-10-03
SEK 1998-10-04
SEK 1998-10-10
SEK 1998-10-11
SEK 1998-10-17
SEK 1998-10-18
SEK 1998-10-24
SEK 1998-10-25
SEK 1998-10-31
SEK 1998-11-01
SEK 1998-11-07
SEK 1998-11-08
SEK 1998-11-14
SEK 1998-11-15
SEK 1998-11-21
SEK 1998-11-22
SEK 1998-11-28
SEK 1998-11-29
SEK 1998-12-05
SEK 1998-12-06
SEK 1998-12-12
SEK 1998-12-13
SEK 1998-12-19
SEK 1998-12-20
SEK 1998-12-26
SEK 1998-12-27
SEK 1999-01-02
SEK 1999-01-03
SEK 1999-01-09
SEK 1999-01-10
SEK 1999-01-16
SEK 1999-01-17
SEK 1999-01-23
SEK 1999-01-24
SEK 1999-01-30
SEK 1999-01-31
SEK 1999-02-06
SEK 1999-02-07
SEK 1999-02-13
SEK 1999-02-14
SEK 1999-02-20
SEK 1999-02-21
SEK 1999-02-27
SEK 1999-02-28
SEK 1999-03-06
SEK 1999-03-07
SEK 1999-03-13
SEK 1999-03-14
SEK 1999-03-20
SEK 1999-03-21
SEK 1999-03-27
SEK 1999-03-28
SEK 1999-04-03
SEK 1999-04-04
SEK 1999-04-10
SEK 1999-04-11
SEK 1999-04-17
SEK 1999-04-18
SEK 1999-04-24
SEK 1999-04-25
SEK 1999-05-01
SEK 1999-05-02
SEK 1999-05-08
SEK 1999-05-09
SEK 1999-05-15
SEK 1999-05-16
SEK 1999-05-22
SEK 1999-05-23
SEK 1999-05-29
SEK 1999-05-30
SEK 1999-06-05
SEK 1999-06-06
SEK 1999-06-12
SEK 1999-06-13
SEK 1999-06-19
SEK 1999-06-20
SEK 1999-06-26
SEK 1999-06-27
SEK 1999-07-03
SEK 1999-07-04
SEK 1999-07-10
SEK 1999-07-11
SEK 1999-07-17
SEK 1999-07-18
SEK 1999-07-24
SEK 1999-07-25
SEK 1999-07-31
SEK 1999-08-01
SEK 1999-08-07
SEK 1999-08-08
SEK 1999-08-14
SEK 1999-08-15
SEK 1999-08-21
SEK 1999-08-22
SEK 1999-08-28
SEK 1999-08-29
SEK 1999-09-04
SEK 1999-09-05
SEK 1999-09-11
SEK 1999-09-12
SEK 1999-09-18
SEK 1999-09-19
SEK 1999-09-25
SEK 1999-09-26
SEK 1999-10-02
SEK 1999-10-03
SEK 1999-10-09
SEK 1999-10-10
SEK 1999-10-16
SEK 1999-10-17
SEK 1999-10-23
SEK 1999-10-24
SEK 1999-10-30
SEK 1999-10-31
SEK 1999-11-06
SEK 1999-11-07
SEK 1999-11-13
SEK 1999-11-14
SEK 1999-11-20
SEK 1999-11-21
SEK 1999-11-27
SEK 1999-11-28
SEK 1999-12-04
SEK 1999-12-05
SEK 1999-12-11
SEK 1999-12-12
SEK 1999-12-18
SEK 1999-12-19
SEK 1999-12-25
SEK 1999-12-26
SEK 2000-01-01
SEK 2000-01-02
SEK 2000-01-08
SEK 2000-01-09
SEK 2000-01-15
SEK 2000-01-16
SEK 2000-01-22
SEK 2000-01-23
SEK 2000-01-29
SEK 2000-01-30
SEK 2000-02-05
SEK 2000-02-06
SEK 2000-02-12
SEK 2000-02-13
SEK 2000-02-19
SEK 2000-02-20
SEK 2000-02-26
SEK 2000-02-27
SEK 2000-03-04
SEK 2000-03-05
SEK 2000-03-11
SEK 2000-03-12
SEK 2000-03-18
SEK 2000-03-19
SEK 2000-03-25
SEK 2000-03-26
SEK 2000-04-01
SEK 2000-04-02
SEK 2000-04-08
SEK 2000-04-09
SEK 2000-04-15
SEK 2000-04-16
SEK 2000-04-22
SEK 2000-04-23
SEK 2000-04-29
SEK 2000-04-30
SEK 2000-05-06
SEK 2000-05-07
SEK 2000-05-13
SEK 2000-05-14
SEK 2000-05-20
SEK 2000-05-21
SEK 2000-05-27
SEK 2000-05-28
SEK 2000-06-03
SEK 2000-06-04
SEK 2000-06-10
SEK 2000-06-11
SEK 2000-06-17
SEK 2000-06-18
SEK 2000-06-24
SEK 2000-06-25
SEK 2000-07-01
SEK 2000-07-02
SEK 2000-07-08
SEK 2000-07-09
SEK 2000-07-15
SEK 2000-07-16
SEK 2000-07-22
SEK 2000-07-23
SEK 2000-07-29
SEK 2000-07-30
SEK 2000-08-05
SEK 2000-08-06
SEK 2000-08-12
SEK 2000-08-13
SEK 2000-08-19
SEK 2000-08-20
SEK 2000-08-26
SEK 2000-08-27
SEK 2000-09-02
SEK 2000-09-03
SEK 2000-09-09
SEK 2000-09-10
SEK 2000-09-16
SEK 2000-09-17
SEK 2000-09-23
SEK 2000-09-24
SEK 2000-09-30
SEK 2000-10-01
SEK 2000-10-07
SEK 2000-10-08
SEK 2000-10-14
SEK 2000-10-15
SEK 2000-10-21
SEK 2000-10-22
SEK 2000-10-28
SEK 2000-10-29
SEK 2000-11-04
SEK 2000-11-05
SEK 2000-11-11
SEK 2000-11-12
SEK 2000-11-18
SEK 2000-11-19
SEK 2000-11-25
SEK 2000-11-26
SEK 2000-12-02
SEK 2000-12-03
SEK 2000-12-09
SEK 2000-12-10
SEK 2000-12-16
SEK 2000-12-17
SEK 2000-12-23
SEK 2000-12-24
SEK 2000-12-30
SEK 2000-12-31
SEK 2001-01-06
SEK 2001-01-07
SEK 2001-01-13
SEK 2001-01-14
SEK 2001-01-20
SEK 2001-01-21
SEK 2001-01-27
SEK 2001-01-28
SEK 2001-02-03
SEK 2001-02-04
SEK 2001-02-10
SEK 2001-02-11
SEK 2001-02-17
SEK 2001-02-18
SEK 2001-02-24
SEK 2001-02-25
SEK 2001-03-03
SEK 2001-03-04
SEK 2001-03-10
SEK 2001-03-11
SEK 2001-03-17
SEK 2001-03-18
SEK 2001-03-24
SEK 2001-03-25
SEK 2001-03-31
SEK 2001-04-01
SEK 2001-04-07
SEK 2001-04-08
SEK 2001-04-14
SEK 2001-04-15
SEK 2001-04-21
SEK 2001-04-22
SEK 2001-04-28
SEK 2001-04-29
SEK 2001-05-05
SEK 2001-05-06
SEK 2001-05-12
SEK 2001-05-13
SEK 2001-05-19
SEK 2001-05-20
SEK 2001-05-26
SEK 2001-05-27
SEK 2001-06-02
SEK 2001-06-03
SEK 2001-06-09
SEK 2001-06-10
SEK 2001-06-16
SEK 2001-06-17
SEK 2001-06-23
SEK 2001-06-24
SEK 2001-06-30
SEK 2001-07-01
SEK 2001-07-07
SEK 2001-07-08
SEK 2001-07-14
SEK 2001-07-15
SEK 2001-07-21
SEK 2001-07-22
SEK 2001-07-28
SEK 2001-07-29
SEK 2001-08-04
SEK 2001-08-05
SEK 2001-08-11
SEK 2001-08-12
SEK 2001-08-18
SEK 2001-08-19
SEK 2001-08-25
SEK 2001-08-26
SEK 2001-09-01
SEK 2001-09-02
SEK 2001-09-08
SEK 2001-09-09
SEK 2001-09-15
SEK 2001-09-16
SEK 2001-09-22
SEK 2001-09-23
SEK 2001-09-29
SEK 2001-09-30
SEK 2001-10-06
SEK 2001-10-07
SEK 2001-10-13
SEK 2001-10-14
SEK 2001-10-20
SEK 2001-10-21
SEK 2001-10-27
SEK 2001-10-28
SEK 2001-11-03
SEK 2001-11-04
SEK 2001-11-10
SEK 2001-11-11
SEK 2001-11-17
SEK 2001-11-18
SEK 2001-11-24
SEK 2001-11-25
SEK 2001-12-01
SEK 2001-12-02
SEK 2001-12-08
SEK 2001-12-09
SEK 2001-12-15
SEK 2001-12-16
SEK 2001-12-22
SEK 2001-12-23
SEK 2001-12-29
SEK 2001-12-30
SEK 2002-01-05
SEK 2002-01-06
SEK 2002-01-12
SEK 2002-01-13
SEK 2002-01-19
SEK 2002-01-20
SEK 2002-01-26
SEK 2002-01-27
SEK 2002-02-02
SEK 2002-02-03
SEK 2002-02-09
SEK 2002-02-10
SEK 2002-02-16
SEK 2002-02-17
SEK 2002-02-23
SEK 2002-02-24
SEK 2002-03-02
SEK 2002-03-03
SEK 2002-03-09
SEK 2002-03-10
SEK 2002-03-16
SEK 2002-03-17
SEK 2002-03-23
SEK 2002-03-24
SEK 2002-03-30
SEK 2002-03-31
SEK 2002-04-06
SEK 2002-04-07
SEK 2002-04-13
SEK 2002-04-14
SEK 2002-04-20
SEK 2002-04-21
SEK 2002-04-27
SEK 2002-04-28
SEK 2002-05-04
SEK 2002-05-05
SEK 2002-05-11
SEK 2002-05-12
SEK 2002-05-18
SEK 2002-05-19
SEK 2002-05-25
SEK 2002-05-26
SEK 2002-06-01
SEK 2002-06-02
SEK 2002-06-08
SEK 2002-06-09
SEK 2002-06-15
SEK 2002-06-16
SEK 2002-06-22
SEK 2002-06-23
SEK 2002-06-29
SEK 2002-06-30
SEK 2002-07-06
SEK 2002-07-07
SEK 2002-07-13
SEK 2002-07-14
SEK 2002-07-20
SEK 2002-07-21
SEK 2002-07-27
SEK 2002-07-28
SEK 2002-08-03
SEK 2002-08-04
SEK 2002-08-10
SEK 2002-08-11
SEK 2002-08-17
SEK 2002-08-18
SEK 2002-08-24
SEK 2002-08-25
SEK 2002-08-31
SEK 2002-09-01
SEK 2002-09-07
SEK 2002-09-08
SEK 2002-09-14
SEK 2002-09-15
SEK 2002-09-21
SEK 2002-09-22
SEK 2002-09-28
SEK 2002-09-29
SEK 2002-10-05
SEK 2002-10-06
SEK 2002-10-12
SEK 2002-10-13
SEK 2002-10-19
SEK 2002-10-20
SEK 2002-10-26
SEK 2002-10-27
SEK 2002-11-02
SEK 2002-11-03
SEK 2002-11-09
SEK 2002-11-10
SEK 2002-11-16
SEK 2002-11-17
SEK 2002-11-23
SEK 2002-11-24
SEK 2002-11-30
SEK 2002-12-01
SEK 2002-12-07
SEK 2002-12-08
SEK 2002-12-14
SEK 2002-12-15
SEK 2002-12-21
SEK 2002-12-22
SEK 2002-12-28
SEK 2002-12-29
SEK 2003-01-04
SEK 2003-01-05
SEK 2003-01-11
SEK 2003-01-12
SEK 2003-01-18
SEK 2003-01-19
SEK 2003-01-25
SEK 2003-01-26
SEK 2003-02-01
SEK 2003-02-02
SEK 2003-02-08
SEK 2003-02-09
SEK 2003-02-15
SEK 2003-02-16
SEK 2003-02-22
SEK 2003-02-23
SEK 2003-03-01
SEK 2003-03-02
SEK 2003-03-08
SEK 2003-03-09
SEK 2003-03-15
SEK 2003-03-16
SEK 2003-03-22
SEK 2003-03-23
SEK 2003-03-29
SEK 2003-03-30
SEK 2003-04-05
SEK 2003-04-06
SEK 2003-04-12
SEK 2003-04-13
SEK 2003-04-19
SEK 2003-04-20
SEK 2003-04-26
SEK 2003-04-27
SEK 2003-05-03
SEK 2003-05-04
SEK 2003-05-10
SEK 2003-05-11
SEK 2003-05-17
SEK 2003-05-18
SEK 2003-05-24
SEK 2003-05-25
SEK 2003-05-31
SEK 2003-06-01
SEK 2003-06-07
SEK 2003-06-08
SEK 2003-06-14
SEK 2003-06-15
SEK 2003-06-21
SEK 2003-06-22
SEK 2003-06-28
SEK 2003-06-29
SEK 2003-07-05
SEK 2003-07-06
SEK 2003-07-12
SEK 2003-07-13
SEK 2003-07-19
SEK 2003-07-20
SEK 2003-07-26
SEK 2003-07-27
SEK 2003-08-02
SEK 2003-08-03
SEK 2003-08-09
SEK 2003-08-10
SEK 2003-08-16
SEK 2003-08-17
SEK 2003-08-23
SEK 2003-08-24
SEK 2003-08-30
SEK 2003-08-31
SEK 2003-09-06
SEK 2003-09-07
SEK 2003-09-13
SEK 2003-09-14
SEK 2003-09-20
SEK 2003-09-21
SEK 2003-09-27
SEK 2003-09-28
SEK 2003-10-04
SEK 2003-10-05
SEK 2003-10-11
SEK 2003-10-12
SEK 2003-10-18
SEK 2003-10-19
SEK 2003-10-25
SEK 2003-10-26
SEK 2003-11-01
SEK 2003-11-02
SEK 2003-11-08
SEK 2003-11-09
SEK 2003-11-15
SEK 2003-11-16
SEK 2003-11-22
SEK 2003-11-23
SEK 2003-11-29
SEK 2003-11-30
SEK 2003-12-06
SEK 2003-12-07
SEK 2003-12-13
SEK 2003-12-14
SEK 2003-12-20
SEK 2003-12-21
SEK 2003-12-27
SEK 2003-12-28
SEK 2004-01-03
SEK 2004-01-04
SEK 2004-01-10
SEK 2004-01-11
SEK 2004-01-17
SEK 2004-01-18
SEK 2004-01-24
SEK 2004-01-25
SEK 2004-01-31
SEK 2004-02-01
SEK 2004-02-07
SEK 2004-02-08
SEK 2004-02-14
SEK 2004-02-15
SEK 2004-02-21
SEK 2004-02-22
SEK 2004-02-28
SEK 2004-02-29
SEK 2004-03-06
SEK 2004-03-07
SEK 2004-03-13
SEK 2004-03-14
SEK 2004-03-20
SEK 2004-03-21
SEK 2004-03-27
SEK 2004-03-28
SEK 2004-04-03
SEK 2004-04-04
SEK 2004-04-10
SEK 2004-04-11
SEK 2004-04-17
SEK 2004-04-18
SEK 2004-04-24
SEK 2004-04-25
SEK 2004-05-01
SEK 2004-05-02
SEK 2004-05-08
SEK 2004-05-09
SEK 2004-05-15
SEK 2004-05-16
SEK 2004-05-22
SEK 2004-05-23
SEK 2004-05-29
SEK 2004-05-30
SEK 2004-06-05
SEK 2004-06-06
SEK 2004-06-12
SEK 2004-06-13
SEK 2004-06-19
SEK 2004-06-20
SEK 2004-06-26
SEK 2004-06-27
SEK 2004-07-03
SEK 2004-07-04
SEK 2004-07-10
SEK 2004-07-11
SEK 2004-07-17
SEK 2004-07-18
SEK 2004-07-24
SEK 2004-07-25
SEK 2004-07-31
SEK 2004-08-01
SEK 2004-08-07
SEK 2004-08-08
SEK 2004-08-14
SEK 2004-08-15
SEK 2004-08-21
SEK 2004-08-22
SEK 2004-08-28
SEK 2004-08-29
SEK 2004-09-04
SEK 2004-09-05
SEK 2004-09-11
SEK 2004-09-12
SEK 2004-09-18
SEK 2004-09-19
SEK 2004-09-25
SEK 2004-09-26
SEK 2004-10-02
SEK 2004-10-03
SEK 2004-10-09
SEK 2004-10-10
SEK 2004-10-16
SEK 2004-10-17
SEK 2004-10-23
SEK 2004-10-24
SEK 2004-10-30
SEK 2004-10-31
SEK 2004-11-06
SEK 2004-11-07
SEK 2004-11-13
SEK 2004-11-14
SEK 2004-11-20
SEK 2004-11-21
SEK 2004-11-27
SEK 2004-11-28
SEK 2004-12-04
SEK 2004-12-05
SEK 2004-12-11
SEK 2004-12-12
SEK 2004-12-18
SEK 2004-12-19
SEK 2004-12-25
SEK 2004-12-26
SEK 2005-01-01
SEK 2005-01-02
SEK 2005-01-08
SEK 2005-01-09
SEK 2005-01-15
SEK 2005-01-16
SEK 2005-01-22
SEK 2005-01-23
SEK 2005-01-29
SEK 2005-01-30
SEK 2005-02-05
SEK 2005-02-06
SEK 2005-02-12
SEK 2005-02-13
SEK 2005-02-19
SEK 2005-02-20
SEK 2005-02-26
SEK 2005-02-27
SEK 2005-03-05
SEK 2005-03-06
SEK 2005-03-12
SEK 2005-03-13
SEK 2005-03-19
SEK 2005-03-20
SEK 2005-03-26
SEK 2005-03-27
SEK 2005-04-02
SEK 2005-04-03
SEK 2005-04-09
SEK 2005-04-10
SEK 2005-04-16
SEK 2005-04-17
SEK 2005-04-23
SEK 2005-04-24
SEK 2005-04-30
SEK 2005-05-01
SEK 2005-05-07
SEK 2005-05-08
SEK 2005-05-14
SEK 2005-05-15
SEK 2005-05-21
SEK 2005-05-22
SEK 2005-05-28
SEK 2005-05-29
SEK 2005-06-04
SEK 2005-06-05
SEK 2005-06-11
SEK 2005-06-12
SEK 2005-06-18
SEK 2005-06-19
SEK 2005-06-25
SEK 2005-06-26
SEK 2005-07-02
SEK 2005-07-03
SEK 2005-07-09
SEK 2005-07-10
SEK 2005-07-16
SEK 2005-07-17
SEK 2005-07-23
SEK 2005-07-24
SEK 2005-07-30
SEK 2005-07-31
SEK 2005-08-06
SEK 2005-08-07
SEK 2005-08-13
SEK 2005-08-14
SEK 2005-08-20
SEK 2005-08-21
SEK 2005-08-27
SEK 2005-08-28
SEK 2005-09-03
SEK 2005-09-04
SEK 2005-09-10
SEK 2005-09-11
SEK 2005-09-17
SEK 2005-09-18
SEK 2005-09-24
SEK 2005-09-25
SEK 2005-10-01
SEK 2005-10-02
SEK 2005-10-08
SEK 2005-10-09
SEK 2005-10-15
SEK 2005-10-16
SEK 2005-10-22
SEK 2005-10-23
SEK 2005-10-29
SEK 2005-10-30
SEK 2005-11-05
SEK 2005-11-06
SEK 2005-11-12
SEK 2005-11-13
SEK 2005-11-19
SEK 2005-11-20
SEK 2005-11-26
SEK 2005-11-27
SEK 2005-12-03
SEK 2005-12-04
SEK 2005-12-10
SEK 2005-12-11
SEK 2005-12-17
SEK 2005-12-18
SEK 2005-12-24
SEK 2005-12-25
SEK 2005-12-31
SEK 2006-01-01
SEK 2006-01-07
SEK 2006-01-08
SEK 2006-01-14
SEK 2006-01-15
SEK 2006-01-21
SEK 2006-01-22
SEK 2006-01-28
SEK 2006-01-29
SEK 2006-02-04
SEK 2006-02-05
SEK 2006-02-11
SEK 2006-02-12
SEK 2006-02-18
SEK 2006-02-19
SEK 2006-02-25
SEK 2006-02-26
SEK 2006-03-04
SEK 2006-03-05
SEK 2006-03-11
SEK 2006-03-12
SEK 2006-03-18
SEK 2006-03-19
SEK 2006-03-25
SEK 2006-03-26
SEK 2006-04-01
SEK 2006-04-02
SEK 2006-04-08
SEK 2006-04-09
SEK 2006-04-15
SEK 2006-04-16
SEK 2006-04-22
SEK 2006-04-23
SEK 2006-04-29
SEK 2006-04-30
SEK 2006-05-06
SEK 2006-05-07
SEK 2006-05-13
SEK 2006-05-14
SEK 2006-05-20
SEK 2006-05-21
SEK 2006-05-27
SEK 2006-05-28
SEK 2006-06-03
SEK 2006-06-04
SEK 2006-06-10
SEK 2006-06-11
SEK 2006-06-17
SEK 2006-06-18
SEK 2006-06-24
SEK 2006-06-25
SEK 2006-07-01
SEK 2006-07-02
SEK 2006-07-08
SEK 2006-07-09
SEK 2006-07-15
SEK 2006-07-16
SEK 2006-07-22
SEK 2006-07-23
SEK 2006-07-29
SEK 2006-07-30
SEK 2006-08-05
SEK 2006-08-06
SEK 2006-08-12
SEK 2006-08-13
SEK 2006-08-19
SEK 2006-08-20
SEK 2006-08-26
SEK 2006-08-27
SEK 2006-09-02
SEK 2006-09-03
SEK 2006-09-09
SEK 2006-09-10
SEK 2006-09-16
SEK 2006-09-17
SEK 2006-09-23
SEK 2006-09-24
SEK 2006-09-30
SEK 2006-10-01
SEK 2006-10-07
SEK 2006-10-08
SEK 2006-10-14
SEK 2006-10-15
SEK 2006-10-21
SEK 2006-10-22
SEK 2006-10-28
SEK 2006-10-29
SEK 2006-11-04
SEK 2006-11-05
SEK 2006-11-11
SEK 2006-11-12
SEK 2006-11-18
SEK 2006-11-19
SEK 2006-11-25
SEK 2006-11-26
SEK 2006-12-02
SEK 2006-12-03
SEK 2006-12-09
SEK 2006-12-10
SEK 2006-12-16
SEK 2006-12-17
SEK 2006-12-23
SEK 2006-12-24
SEK 2006-12-25
SEK 2006-12-26
SEK 2006-12-30
SEK 2006-12-31
SEK 2007-01-01
SEK 2007-01-06
SEK 2007-01-07
SEK 2007-01-13
SEK 2007-01-14
SEK 2007-01-20
SEK 2007-01-21
SEK 2007-01-27
SEK 2007-01-28
SEK 2007-02-03
SEK 2007-02-04
SEK 2007-02-10
SEK 2007-02-11
SEK 2007-02-17
SEK 2007-02-18
SEK 2007-02-24
SEK 2007-02-25
SEK 2007-03-03
SEK 2007-03-04
SEK 2007-03-10
SEK 2007-03-11
SEK 2007-03-17
SEK 2007-03-18
SEK 2007-03-24
SEK 2007-03-25
SEK 2007-03-31
SEK 2007-04-01
SEK 2007-04-06
SEK 2007-04-07
SEK 2007-04-08
SEK 2007-04-09
SEK 2007-04-14
SEK 2007-04-15
SEK 2007-04-21
SEK 2007-04-22
SEK 2007-04-28
SEK 2007-04-29
SEK 2007-05-01
SEK 2007-05-05
SEK 2007-05-06
SEK 2007-05-12
SEK 2007-05-13
SEK 2007-05-17
SEK 2007-05-19
SEK 2007-05-20
SEK 2007-05-26
SEK 2007-05-27
SEK 2007-06-02
SEK 2007-06-03
SEK 2007-06-06
SEK 2007-06-09
SEK 2007-06-10
SEK 2007-06-16
SEK 2007-06-17
SEK 2007-06-22
SEK 2007-06-23
SEK 2007-06-24
SEK 2007-06-30
SEK 2007-07-01
SEK 2007-07-07
SEK 2007-07-08
SEK 2007-07-14
SEK 2007-07-15
SEK 2007-07-21
SEK 2007-07-22
SEK 2007-07-28
SEK 2007-07-29
SEK 2007-08-04
SEK 2007-08-05
SEK 2007-08-11
SEK 2007-08-12
SEK 2007-08-18
SEK 2007-08-19
SEK 2007-08-25
SEK 2007-08-26
SEK 2007-09-01
SEK 2007-09-02
SEK 2007-09-08
SEK 2007-09-09
SEK 2007-09-15
SEK 2007-09-16
SEK 2007-09-22
SEK 2007-09-23
SEK 2007-09-29
SEK 2007-09-30
SEK 2007-10-06
SEK 2007-10-07
SEK 2007-10-13
SEK 2007-10-14
SEK 2007-10-20
SEK 2007-10-21
SEK 2007-10-27
SEK 2007-10-28
SEK 2007-11-03
SEK 2007-11-04
SEK 2007-11-10
SEK 2007-11-11
SEK 2007-11-17
SEK 2007-11-18
SEK 2007-11-24
SEK 2007-11-25
SEK 2007-12-01
SEK 2007-12-02
SEK 2007-12-08
SEK 2007-12-09
SEK 2007-12-15
SEK 2007-12-16
SEK 2007-12-22
SEK 2007-12-23
SEK 2007-12-24
SEK 2007-12-25
SEK 2007-12-26
SEK 2007-12-29
SEK 2007-12-30
SEK 2007-12-31
SEK 2008-01-01
SEK 2008-01-05
SEK 2008-01-06
SEK 2008-01-12
